"","Словарная статья","Жест","Тип жеста","H1 Выбранные пальцы","H1 Сгиб","H1 Апертура","H1 Ширина","H1 Невыбранные пальцы","H1 Фокус","Ориентация H1 к H2","H2 Выбранные пальцы","H2 Сгиб","H2 Апертура","H2 Ширина","H2 Невыбранные пальцы","Ориентация H2 к H1"
"17","10496--упрямый--MVI_1786.eaf","упрямый","Type 2","1-st","straight","","","flexed","palm/radial","palm","1-st","straight","","","flexed","palm"
"19","10551--мазь--MVI_1867.eaf","мазь","Type 3","2-nd","bent","","","straight","","palm","all","straight","","pointed","","palm"
"21","10572--еще раз--MVI_1904.eaf","1 раз","Type 3","1-st","straight","","","flexed","ulnar","back","all","straight","","pointed","","palm"
"23","10624--или--MVI_1970.eaf","или","Type 3","1-st","straight","","","flexed","palm/back","palm/back","thumb/1-st","straight","","","flexed","palm"
"26","10680--орнамент--MVI_2040.eaf","орнамент","Type 2","1-st","straight","","","flexed","ulnar","ulnar","1-st","straight","","","flexed","radial"
"27","10687--орфография--MVI_2048.eaf","писать","Type 3","1-st","curved","closed","","straight","ulnar","palm","all","straight","","pointed","","palm"
"28","10700--вне дома--MVI_2070.eaf","вне","Type 2","all","bent","","pointed","","back","tips","all","bent","","pointed","","tips"
"29","10702--не в порядке, сломан--MVI_2073.eaf","сломан","Type 2","1-st/2-nd","curved","","wide","flexed","","tips","1-st/2-nd","curved","","wide","flexed","tips"
"30","10705--результат--MVI_2076.eaf","результат","Type 2","all","bent","","pointed","","ulnar","ulnar","all","bent","","pointed","","palm"
"31","10719--начало--MVI_2094.eaf","начало","Type 3","1-st","straight","","","flexed","tips","back","all","straight","","pointed","","palm"
"32","10731--преодолевать--MVI_2109.eaf","преодолевать","Type 2","all","fist","","","","palm","root","all","fist","","","","back"
"33","10736--переедание--MVI_2114.eaf","переедать","Type 2","all","fist","","","","ulnar","ulnar","all","fist","","","","radial"
"35","10744--проспать--MVI_2124.eaf","пропустить?","Type 2","all","straight","","pointed","","palm","palm","all","straight","","pointed","","palm"
"37","10777--пакет--MVI_2169.eaf","внутри","Type 3","all","bent","","pointed","","tips","back","all","straight","","pointed","","palm"
"38","10793--боль--MVI_2195.eaf","боль","Type 3","1-st","curved","closed","","straight","palm/ulnar","palm","all","fist","","","","back"
"39","10797--краска--MVI_2201.eaf","краска","Type 3","1-st/2-nd","straight","","pointed","flexed","","tips","all","straight","","pointed","","palm"
"41","10832--бумага--MVI_2250.eaf","бумага","Type 2","all","fist","","","","ulnar/radial","palm","all","fist","","","","palm"
"42","10942--проходящий--MVI_2403.eaf","мимо","Type 2","all","straight","","pointed","","ulnar","palm","all","straight","","pointed","","palm"
